CAMIS,DBA,BORO,BUILDING,STREET,ZIPCODE,PHONE,CUISINE DESCRIPTION,INSPECTION DATE,ACTION,VIOLATION CODE,VIOLATION DESCRIPTION,CRITICAL FLAG,SCORE,GRADE,GRADE DATE,RECORD DATE,INSPECTION TYPE,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA
41659848,LA BRISA DEL CIBAO,Queens,3779,103 STREET,11368,7182054941,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",01/30/2018,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,20,,,04/12/2020,Cycle Inspection / Initial Inspection,40.752743082686,-73.864166590901,403,21,040500,4044323,4017690064,QN26
40961447,MESON SEVILLA RESTAURANT,Manhattan,344,WEST   46 STREET,10036,2122625890,Spanish,03/19/2019,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",N,50,,,04/12/2020,Cycle Inspection / Initial Inspection,40.760335382639,-73.989246589104,104,03,012100,1025022,1010360051,MN15
50063071,WA BAR,Manhattan,28,WEST   32 STREET,10001,2127142266,Korean,05/23/2018,Violations were cited in the following area(s).,04H,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",Y,15,,,04/12/2020,Cycle Inspection / Initial Inspection,40.74772296418,-73.986877485325,105,04,007600,1015829,1008330060,MN17
50034992,EMPANADAS MONUMENTAL,Manhattan,550,WEST  181 STREET,10033,6469645773,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",06/21/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,17,B,06/21/2019,04/12/2020,Cycle Inspection / Re-inspection,40.848922154829,-73.932816085398,112,10,026900,1081874,1021530072,MN35
50095871,ALPHONSO'S PIZZERIA & TRATTORIA,Manhattan,525A,GRAND STREET,10002,2124773367,Italian,01/16/2020,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Y,10,A,01/16/2020,04/12/2020,Cycle Inspection / Initial Inspection,40.714557309379,-73.982028681948,103,01,000202,,1,MN28
41104041,THE SPARROW TAVERN,Queens,2401,29 STREET,11102,7186062260,American,09/17/2019,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Y,13,A,09/17/2019,04/12/2020,Cycle Inspection / Initial Inspection,40.772871015546,-73.916505401094,401,22,012500,4017438,4008400042,QN72
50016937,BURGER KING,Queens,10502,ROCKAWAY BLVD,11417,7188481573,American,09/14/2018,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facility’s food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Y,12,A,09/14/2018,04/12/2020,Cycle Inspection / Re-inspection,40.678800331621,-73.833961040163,410,32,086400,4247758,4114800051,QN55
50066469,DARBAR'S CHICKEN & RIBS,Queens,12609,LIBERTY AVE,11419,7185294900,American,08/07/2017,Establishment re-closed by DOHMH,04M,Live roaches present in facility's food and/or non-food areas.,Y,11,,,04/12/2020,Pre-permit (Operational) / Reopening Inspection,40.688583392422,-73.818121343452,410,28,015802,4203952,4095630025,QN55
41195691,F & J PINE RESTAURANT,Bronx,1913,BRONXDALE AVENUE,10462,7187925956,Italian,05/02/2019,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,N,26,,,04/12/2020,Cycle Inspection / Initial Inspection,40.848944092381,-73.862060891357,211,13,024600,2048074,2042630015,BX49
50015706,EL RINCONCITO DE LOS SABORES,Queens,13933,89TH AVE,11435,3474889294,Mexican,12/18/2019,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Y,20,,,04/12/2020,Cycle Inspection / Initial Inspection,40.702691515876,-73.812979346843,412,24,021400,4206878,4096830019,QN35
